hand: 23K8Q, type: HighCard, rank: 1, bid: 359, winnings: 359
hand: 243QA, type: HighCard, rank: 2, bid: 250, winnings: 500
hand: 243K7, type: HighCard, rank: 3, bid: 979, winnings: 2937
hand: 24A6K, type: HighCard, rank: 4, bid: 197, winnings: 788
hand: 2567T, type: HighCard, rank: 5, bid: 211, winnings: 1055
hand: 265KA, type: HighCard, rank: 6, bid: 363, winnings: 2178
hand: 28QKT, type: HighCard, rank: 7, bid: 655, winnings: 4585
hand: 2T374, type: HighCard, rank: 8, bid: 439, winnings: 3512
hand: 2QTKA, type: HighCard, rank: 9, bid: 447, winnings: 4023
hand: 2KT69, type: HighCard, rank: 10, bid: 232, winnings: 2320
hand: 32T65, type: HighCard, rank: 11, bid: 709, winnings: 7799
hand: 358K2, type: HighCard, rank: 12, bid: 725, winnings: 8700
hand: 365K8, type: HighCard, rank: 13, bid: 794, winnings: 10322
hand: 398K4, type: HighCard, rank: 14, bid: 715, winnings: 10010
hand: 3TQ46, type: HighCard, rank: 15, bid: 373, winnings: 5595
hand: 3TK74, type: HighCard, rank: 16, bid: 338, winnings: 5408
hand: 3AK7T, type: HighCard, rank: 17, bid: 50, winnings: 850
hand: 428T3, type: HighCard, rank: 18, bid: 132, winnings: 2376
hand: 42K39, type: HighCard, rank: 19, bid: 116, winnings: 2204
hand: 43Q82, type: HighCard, rank: 20, bid: 760, winnings: 15200
hand: 458T7, type: HighCard, rank: 21, bid: 860, winnings: 18060
hand: 4735Q, type: HighCard, rank: 22, bid: 259, winnings: 5698
hand: 473A8, type: HighCard, rank: 23, bid: 431, winnings: 9913
hand: 482Q9, type: HighCard, rank: 24, bid: 668, winnings: 16032
hand: 4938T, type: HighCard, rank: 25, bid: 813, winnings: 20325
hand: 4T693, type: HighCard, rank: 26, bid: 806, winnings: 20956
hand: 4T6KA, type: HighCard, rank: 27, bid: 892, winnings: 24084
hand: 4T925, type: HighCard, rank: 28, bid: 32, winnings: 896
hand: 4Q26A, type: HighCard, rank: 29, bid: 886, winnings: 25694
hand: 4Q35K, type: HighCard, rank: 30, bid: 842, winnings: 25260
hand: 4Q385, type: HighCard, rank: 31, bid: 269, winnings: 8339
hand: 4QKT3, type: HighCard, rank: 32, bid: 742, winnings: 23744
hand: 4K756, type: HighCard, rank: 33, bid: 800, winnings: 26400
hand: 4K9AQ, type: HighCard, rank: 34, bid: 148, winnings: 5032
hand: 5496K, type: HighCard, rank: 35, bid: 590, winnings: 20650
hand: 54T86, type: HighCard, rank: 36, bid: 547, winnings: 19692
hand: 57T63, type: HighCard, rank: 37, bid: 315, winnings: 11655
hand: 58ATQ, type: HighCard, rank: 38, bid: 939, winnings: 35682
hand: 59Q83, type: HighCard, rank: 39, bid: 128, winnings: 4992
